GPA,Internships,Competitions,Penalties,Nationality,Salary
3.25,1,2,0,Australia,172450
2.93,0,0,0,Australia,122925
3.32,1,1,0,Australia,164713
3.76,0,1,1,Australia,117845
2.88,1,0,0,U.K.,146490
2.88,1,0,0,U.S.,148489
3.79,1,0,0,Australia,168688
3.38,0,0,0,Australia,136511
2.77,0,0,0,U.K.,122958
3.27,1,0,1,U.K.,118139
2.77,0,0,2,U.K.,43048
2.77,1,0,2,Australia,58015
3.12,0,2,1,Australia,108630
2.04,1,0,0,U.K.,121302
2.14,1,2,1,U.S.,106127
2.72,0,0,0,U.K.,121566
2.49,1,0,0,U.K.,134808
3.16,0,0,0,U.K.,134714
2.55,0,0,0,Australia,111379
2.29,2,0,1,U.S.,110815
3.73,1,1,0,U.K.,181985
2.89,2,0,0,Australia,161615
3.03,0,1,0,U.K.,141012
2.29,1,1,2,U.S.,60627
2.73,1,0,0,Australia,136834
3.06,1,0,0,Australia,146664
2.42,1,1,0,U.K.,142735
3.19,1,0,1,U.S.,117636
2.7,1,0,0,Australia,135990
2.85,2,2,0,U.K.,185626
2.7,2,0,0,Australia,155973
3.93,2,1,0,U.K.,207783
2.99,0,2,0,Australia,144797
2.47,1,0,0,U.K.,134133
3.41,2,0,2,Australia,97338
2.39,0,0,0,Australia,106689
3.1,0,0,0,U.K.,133133
2.02,1,0,2,U.K.,40605
2.34,1,1,0,U.K.,140076
3.1,2,0,0,U.K.,172952
3.37,0,0,0,U.K.,141077
3.09,1,2,0,Australia,167570
2.94,0,1,2,U.K.,58267
2.85,0,1,0,U.K.,135484
2.26,0,0,1,Australia,62821
2.64,2,1,0,U.K.,169203
2.77,1,0,0,U.S.,145091
3.53,1,0,0,Australia,160858
3.17,1,0,0,Australia,150156
2.12,2,1,0,Australia,148553
3.16,1,0,1,Australia,109860
2.81,2,0,0,U.K.,164223
2.66,1,0,2,U.K.,59846
3.31,1,0,0,U.K.,159176
3.52,1,1,1,Australia,130466
3.47,1,1,1,U.K.,133969
2.58,1,1,1,Australia,102411
2.85,1,0,1,U.S.,107362
3.17,0,0,1,Australia,89968
3.49,2,0,0,Australia,179635
2.76,1,0,0,U.K.,142811
2.91,1,0,0,Australia,142215
2.45,2,1,2,Australia,78407
2.4,1,0,0,U.K.,132057
3.41,0,0,1,U.K.,102188
3.68,2,0,0,U.S.,192343
2.96,1,0,0,Australia,143920
3.5,1,0,0,Australia,160054
3.18,0,2,0,Australia,150422
2.68,1,1,0,Australia,145325
3.18,1,2,0,Australia,170420
3.77,1,0,0,U.K.,173070
2.98,2,0,0,U.K.,169462
3.78,1,0,0,U.K.,173470
3.46,0,0,0,Australia,138891
3.41,1,1,1,Australia,127329
3.04,0,0,0,Australia,126308
2.85,1,0,0,U.K.,145514
3.05,0,0,0,Australia,126377
2.01,1,0,0,Australia,115186
2.89,1,1,0,Australia,151705
3.18,2,0,0,Australia,170357
3.74,1,0,0,U.K.,172168
2.74,2,0,0,Australia,157226
2.6,0,0,0,U.K.,117874
2.75,2,1,1,U.K.,132473
3.46,0,1,1,U.K.,113732
3.16,1,2,0,Australia,169930
2.74,1,1,0,U.S.,154053
3.26,0,0,0,Australia,132699
3.05,0,1,0,Australia,136458
3.48,1,0,2,Australia,79530
2.65,1,0,0,Australia,134469
2.84,1,1,0,U.K.,155085
2.8,1,0,0,U.K.,144117
2.27,1,2,1,U.K.,108048
3.15,0,0,0,U.K.,134443
3.13,1,1,0,U.K.,163915
3,0,1,0,U.K.,140076
2.88,2,1,0,U.K.,176481
2.29,1,1,0,U.S.,140769
2.79,1,1,0,U.K.,153690
2.83,1,0,0,U.K.,144861
2.6,2,0,0,U.K.,157966
2.92,0,0,0,Australia,122580
3.2,1,1,0,U.K.,166060
3.94,1,0,0,U.K.,178294
3.09,1,1,0,Australia,157618
3.13,0,0,1,U.K.,93863
2.96,2,0,0,U.K.,168885
2.04,2,1,0,U.K.,151220
2.99,1,0,0,U.K.,149602
3.03,1,0,0,U.K.,150902
3.95,2,0,1,U.K.,158642
2.9,1,2,0,Australia,162114
3.15,0,1,2,Australia,59524
2.98,1,0,0,Australia,144477
2.42,1,0,0,U.K.,132471
3.57,1,0,1,U.S.,129141
3.38,1,1,1,U.K.,131280
3.4,2,1,1,U.K.,151865
2.55,2,0,1,Australia,111358
3.7,1,0,0,U.K.,171042
2.3,0,0,1,U.K.,68973
3.29,2,1,0,Australia,183803
